['03/02/2021', ['13', '35'], '35', '10', '230', '20', '5000*', '10']
['03/02/2021', ['13', '55'], '36', '14', '230', '18', '5000*', '10']
['03/02/2021', ['14', '15'], '36', '9', '200', '17', '5000*', '10']
['03/02/2021', ['14', '35'], '37', '8', '210', '17', '5000*', '10']
['03/02/2021', ['14', '55'], '38', '10', '210', '17', '5000*', '10']
['03/02/2021', ['15', '15'], '38', '9', '210', '20', '5000*', '10']
['03/02/2021', ['17', '35'], '37', '9', '220', '20', '5000*', '10']
['03/02/2021', ['17', '55'], '36', '9', '230', '18', '5000*', '10']
['03/02/2021', ['18', '15'], '36', '8', '220', '18*', '5000*', '10']
['03/02/2021', ['18', '35'], '35', '8', '220', '17', '5000*', '10']
['03/03/2021', ['08', '15'], '35', '6', '220', '18*', '5000*', '10']
['03/03/2021', ['08', '35'], '36', '7', '230', '18*', '5000*', '10']
['03/03/2021', ['08', '55'], '37', '7', '240', '18*', '5000*', '10']
['03/03/2021', ['09', '15'], '39', '8', '260', '18*', '5000*', '10']
['03/03/2021', ['09', '35'], '40', '7', '260', '18*', '5000*', '10']
['03/03/2021', ['09', '55'], '40', '10', '260', '17', '5000*', '10']
['03/03/2021', ['10', '15'], '42', '6', '240', '17*', '5000*', '10']
['03/03/2021', ['10', '35'], '43', '7', '260', '17*', '5000*', '10']
['03/03/2021', ['10', '55'], '44', '9', '260', '17*', '5000*', '10']
['03/03/2021', ['11', '15'], '44', '9', '280', '16', '5000*', '10']
['03/03/2021', ['11', '35'], '45', '9', '260', '16*', '5000*', '10']
['03/03/2021', ['11', '55'], '47', '8', '280', '18', '5000*', '10']
['03/03/2021', ['12', '15'], '47', '7', '270', '20', '5000*', '10']
['03/03/2021', ['12', '35'], '48', '15', '270', '20', '5000*', '10']
['03/03/2021', ['13', '15'], '50', '7', '250', '20', '5000*', '10']
['03/03/2021', ['17', '35'], '47', '14', '290', '20', '5000*', '10']
['03/05/2021', ['12', '55'], '38', '10', '320', '17', '3400', '10']
['03/05/2021', ['13', '15'], '39', '15', '340', '20', '3400', '10']
['03/05/2021', ['13', '35'], '39', '10', '320', '18', '3800', '10']
['03/05/2021', ['13', '55'], '39', '14', '290', '18*', '3800*', '10']
['03/05/2021', ['14', '15'], '40', '14', '340', '17', '3800*', '10']
['03/05/2021', ['15', '35'], '42', '11', '300', '17', '3800*', '10']
['03/05/2021', ['18', '15'], '38', '13', '320', '18', '3800*', '10']
['03/05/2021', ['18', '35'], '37', '10', '320', '18*', '3800*', '10']
['03/05/2021', ['18', '55'], '36', '9', '320', '18', '3800*', '10']
['03/06/2021', ['12', '15'], '35', '10', '300', '16*', '3300*', '10']
['03/06/2021', ['12', '35'], '35', '9', '310', '17', '3300*', '10']
['03/06/2021', ['12', '55'], '36', '10', '310', '17', '3300*', '10']
['03/06/2021', ['13', '15'], '37', '9', '320', '17*', '3300*', '10']
['03/06/2021', ['13', '35'], '37', '10', '330', '17', '3300*', '10']
['03/06/2021', ['13', '55'], '38', '11', '310', '18', '3300*', '10']
['03/06/2021', ['14', '15'], '38', '7', '310', '18*', '3300*', '10']
['03/06/2021', ['14', '35'], '38', '11', '280', '18', '3300*', '10']
['03/06/2021', ['15', '15'], '40', '14', '310', '20', '4900*', '10']
['03/06/2021', ['15', '35'], '39', '15', '310', '20', '5000', '10']
['03/06/2021', ['15', '55'], '36', '10', '300', '20', '5000', '10']
['03/06/2021', ['16', '15'], '39', '10', '310', '16', '5000', '10']
['03/06/2021', ['16', '35'], '38', '10', '290', '16', '5000', '10']
['03/06/2021', ['16', '55'], '39', '15', '290', '16*', '5500', '10']
['03/06/2021', ['17', '15'], '38', '8', '290', '16*', '5500', '10']
['03/06/2021', ['17', '35'], '37', '14', '310', '18', '5500', '10']
['03/06/2021', ['17', '55'], '36', '10', '300', '18*', '5500', '10']
['03/06/2021', ['18', '15'], '37', '11', '290', '18*', '5000', '10']
['03/06/2021', ['18', '35'], '36', '10', '280', '18*', '4800', '10']
['03/06/2021', ['18', '55'], '35', '11', '280', '18*', '5000', '10']
['03/07/2021', ['13', '55'], '35', '6', '240', '0*', '4800*', '10']
['03/07/2021', ['14', '15'], '36', '5', '300', '0*', '4800*', '10']
['03/07/2021', ['14', '35'], '37', '6', '280', '0*', '4800*', '10']
