TEST VIEW OF `daylight_weather.csv` OUTPUT [`writers` | 18w, 34, 37 ]

        Date        |         Hr         |        Min         |      Temp (F)      |   Wind Spd (mph)   |Wind Direction (deg)|Peak Wind Gust(mph) | Low Cloud Ht (ft)  |  Visibility (mi)   
     03/06/2021     |         16         |         55         |         39         |         15         |        290         |        16*         |        5500        |         10         |                    
     03/07/2021     |         14         |         15         |         36         |         5          |        300         |         0*         |       4800*        |         10         |                    
     03/07/2021     |         15         |         15         |         38         |         3          |        240         |         0*         |       4800*        |         10         |                    
     03/07/2021     |         15         |         35         |         38         |         5          |        310         |         0*         |       4800*        |         10         |                    
     03/07/2021     |         15         |         55         |         39         |         3          |        200         |         0*         |       4800*        |         10         |                    
     03/07/2021     |         16         |         15         |         39         |         3          |        240         |         0*         |       4800*        |         10         |                    
     03/07/2021     |         16         |         35         |         39         |         0          |         0          |         0*         |       4800*        |         10         |       either       
     03/07/2021     |         16         |         55         |         39         |         0          |         0          |         0*         |       4800*        |         10         |       either       
     03/07/2021     |         17         |         15         |         38         |         0          |         0          |         0*         |       4800*        |         10         |       either       
     03/07/2021     |         17         |         35         |         38         |         0          |         0          |         0*         |       4800*        |         10         |       either       
     03/07/2021     |         17         |         55         |         38         |         0          |         0          |         0*         |       4800*        |         10         |       either       
     03/07/2021     |         18         |         15         |         37         |         0          |         0          |         0*         |       4800*        |         10         |       either       
     03/07/2021     |         18         |         35         |         36         |         0          |         0          |         0*         |       4800*        |         10         |       either       
     03/07/2021     |         18         |         55         |         35         |         0          |         0          |         0*         |       4800*        |         10         |       either       
     03/08/2021     |         06         |         35         |         37         |         5          |        200         |         0*         |       7000*        |         10         |                    
     03/08/2021     |         06         |         55         |         37         |         3          |        200         |         0*         |       7000*        |         10         |                    
     03/08/2021     |         07         |         15         |         37         |         5          |        200         |         0*         |       7000*        |         10         |                    
     03/08/2021     |         08         |         15         |         42         |         5          |        200         |         0*         |       7000*        |         10         |                    
     03/08/2021     |         08         |         55         |         44         |         6          |        190         |         0*         |       7000*        |         10         |                    
     03/09/2021     |         08         |         55         |         38         |         0          |         0          |         0*         |       7500*        |         7          |       either       
     03/09/2021     |         09         |         15         |         43         |         0          |         0          |         0*         |       7500*        |         10         |       either       
     03/09/2021     |         09         |         35         |         45         |         5          |        130         |         0*         |       7500*        |         10         |                    
     03/09/2021     |         10         |         55         |         51         |         9          |        140         |         0*         |       7500*        |         10         |                    
     03/09/2021     |         11         |         15         |         52         |         11         |        140         |         0*         |       7500*        |         10         |                    
     03/09/2021     |         11         |         55         |         53         |         10         |        140         |        16*         |       7500*        |         10         |                    
     03/11/2021     |         06         |         35         |         58         |         5          |        190         |        18*         |        3900        |         10         |                    
     03/12/2021     |         06         |         35         |         35         |         3          |        250         |         0*         |       3900*        |         10         |                    
     03/12/2021     |         07         |         15         |         35         |         3          |        250         |         0*         |       3900*        |         10         |                    
     03/12/2021     |         07         |         35         |         36         |         5          |        250         |         0*         |       3900*        |         10         |                    
     03/12/2021     |         07         |         55         |         37         |         5          |        260         |         0*         |       3900*        |         10         |                    
     03/13/2021     |         10         |         15         |         35         |         3          |        220         |         0*         |       3900*        |         10         |                    
     03/13/2021     |         10         |         55         |         38         |         5          |        270         |         0*         |       3900*        |         10         |                    
     03/13/2021     |         13         |         15         |         44         |         10         |        240         |         0*         |       3900*        |         10         |                    
     03/14/2021     |         08         |         35         |         40         |         5          |        350         |        18*         |       3900*        |         10         |                    
     03/14/2021     |         09         |         35         |         43         |         11         |        360         |         17         |       3900*        |         10         |                    
